Unnamed: 0,street_name,street_alias
4005,nguyen truong to,
4012,xe hoi,
4023,kenh chanh 5 qh,
4025,ha tri,
4026,phan van hon,
4036,lanh binh thang,
4050,thach lam,
4054,no trang long phuong,
4058,cau men,
4059,ngo chi quoc,
4061,30 linh ong,
4070,cao toc long thanh,
4072,sung khang,
4075,vu mien,
4081,nguyen van qua phuong,
4083,long thanh,
4084,cao thang q,
4091,cu xa,
4095,cao xuan uc,
4096,nguyen thai hoc,
4100,nguyen van tuyet,
4108,van phong,
4113,huynh ngoc hue,
4114,quoc lo 13 hiep binh phuoc thu uc,
4119,t782,
4128,bo kenh la khe,
4132,lac hoa,
4135,yen nghia,
4142,tan chanh hiep 8,
4144,e,
4149,tran huu uc 5,
4150,nguyen chi thanh q,
4158,bat su,
4167,vanh ai 04,
4175,bac n long thanh,
4178,xa nhon uc,
4180,a tuong,
4181,quang an,
4185,kp5,
4194,vu tong phan,
4205,bui sy tiem,
4212,2/9,
4219,phu ien,
4220,tinh lo,
4223,nhan,
4227,mai chi tho,
4233,vinh tien,
4247,x094,
4249,bang lang,
4250,ong phu,
4255,thanh binh,
4258,nguyen tat to,
4269,le van huan,
4272,715,
4281,nguyen cong hoan,
4282,an hoi,
4285,tan mai,
4287,nguyen hoang ton,
4293,cho kham thien,
4298,an thuong,
4302,tran van anh,
4312,cong ly,
4316,bau bang,
4317,4 ha quang ii,
4318,huynh van banh phuong,
4321,giang vo cat linh,
4326,quang trung ha ong,
4330,an vuong binh tan,
